label,prec,rec
信用卡数量限制,0.00,0.00
公司优势,0.50,0.29
合作银行,1.00,1.00
审核时间,0.00,0.00
客户提意见,1.00,0.50
客服不专业,1.00,0.60
已有贷款,0.00,0.00
征信差或无资产,0.67,0.67
提交材料,1.00,0.17
是否上征信,0.67,0.40
是否机器人,0.00,0.00
是否真实,0.00,0.00
爱国爱党,0.00,0.00
私人信息,1.00,0.20
考虑,1.00,0.50
解释厘,0.00,0.00
解释省呗,1.00,0.14
询问信息来源,0.00,0.00
询问公司名称或地址,1.00,0.33
询问分期,1.00,0.33
询问利息,1.00,0.50
询问利率,1.00,0.33
询问如何还款,1.00,0.25
询问客服名字,0.00,0.00
询问手续费,0.33,1.00
询问抵押,1.00,1.00
询问是否安全,1.00,0.33
询问贷款现金,1.00,1.00
询问贷款速度,0.67,0.67
询问身份或来意,1.00,0.36
询问额度,1.00,0.40
贷款速度快,0.00,0.00
软件怎么下载,0.00,0.00
额度是否循环,0.50,1.00
